ridge_density,ridge_thickness,ridge_ratio,minutiae_points,label
0.1586,40.43814432989691,0.1585809581564584,15592,0
0.1855,47.30791505791506,0.1855212355212355,14208,0
0.1864,47.54333333333334,0.1864444444444444,10043,0
0.2392,61.007333333333335,0.2392444444444444,12691,0
0.2723,69.44525824652777,0.2723343460648148,18539,0
0.2502,63.8038429054054,0.2502111486486486,24309,0
0.1919,48.940022786458336,0.1919216579861111,14397,0
0.1821,46.43833333333333,0.1821111111111111,10044,0
0.1849,47.155354817708336,0.1849229600694444,14336,0
0.3136,79.95979126447877,0.3135678088803089,25321,0
0.1987,50.674203373945645,0.1987223661723358,18085,0
0.2152,54.88661024305556,0.2152416087962963,14990,0
0.2868,73.1267572633552,0.2867715971111969,20873,0
0.3806,97.04799107142856,0.3805803571428571,26394,0
0.209,53.30254448784722,0.2090295862268518,15677,0
0.2806,71.54799107142857,0.2805803571428571,21954,0
0.1813,46.223,0.1812666666666666,10726,0
0.2146,54.72059461805556,0.2145905671296296,15709,0
0.3108,79.26137186293437,0.3108289092664092,22572,0
0.2131,54.332,0.2130666666666666,10936,0
0.2186,55.75127495659722,0.2186324508101851,15033,0
0.2334,59.50620899718838,0.2333576823419152,19601,0
0.1733,44.19054576303139,0.1732962578942407,7506,1
0.1391,35.47211808809747,0.1391063454435195,13296,0
0.1765,45.017903645833336,0.1765407986111111,14012,0
0.2023,51.59688706563706,0.2023407335907336,20113,0
0.1456,37.125166666666665,0.1455888888888888,8660,0
0.1163,29.66260543580131,0.1163239428854953,11987,0
0.278,70.8815,0.2779666666666666,15376,0
0.2661,67.8549671977507,0.2660979105794145,19287,0
0.2417,61.63074039362699,0.2416891780142235,22616,0
0.2646,67.48242736644798,0.2646369700645019,19633,0
0.2344,59.77483333333333,0.2344111111111111,12239,0
0.243,61.97472249034749,0.2430381274131274,23585,0
0.1299,33.11338682432432,0.1298564189189189,14229,0
0.1822,46.461,0.1822,10962,0
0.2837,72.35563465250965,0.2837475868725869,21626,0
0.2071,52.819,0.2071333333333333,12784,0
0.1539,39.23266166822868,0.1538535751695242,14096,0
0.2289,58.379855685763886,0.2289406105324074,16049,0
0.2895,73.82016167953668,0.2894908301158301,23612,0
0.209,53.29332139756944,0.2089934172453703,15822,0
0.3114,79.41833333333334,0.3114444444444444,15357,0
0.1923,49.0365,0.1923,10420,0
0.2102,53.592151303088805,0.2101652992277992,19520,0
0.2798,71.35895032802249,0.2798390208942058,22643,0
0.3253,82.9488416988417,0.3252895752895753,26408,0
0.2026,51.656222873263886,0.2025734230324074,15559,0
0.1488,37.93833333333333,0.1487777777777778,9288,0
0.244,62.2300916988417,0.2440395752895753,25084,0
0.2172,55.39069821930647,0.2172184243894371,16854,0
0.0776671875,133123.0,0.084207286772678,92299,0
0.2259,57.61190878378378,0.225929054054054,19338,0
0.2007,51.18584526909722,0.2007288049768518,14829,0
0.2162,55.14116682286785,0.2162398698935994,15751,0
0.1733,44.1846298031865,0.1732730580517117,15184,0
0.1963,50.04448784722222,0.1962528935185185,14500,0
0.1954,49.830050998263886,0.195411964699074,14646,0
0.0502,12.7925,0.0501666666666666,53051,1
0.1981,50.51695222007722,0.1981056949806949,16275,0
0.1913,48.79,0.1913333333333333,11148,0
0.2367,60.35,0.2366666666666666,12702,0
0.1651,42.09418402777778,0.1650752314814814,13103,0
0.1276,32.54366666666667,0.1276222222222222,7889,0
0.1306,33.291666666666664,0.1305555555555555,7993,0
0.3438,87.68033333333334,0.3438444444444444,13726,0
0.2193,55.92277992277992,0.2193050193050193,19190,0
0.0916,23.35233333333333,0.0915777777777777,5421,0
0.2375,60.56408153701968,0.2375062021059595,20241,0
