ridge_density,ridge_thickness,ridge_ratio,minutiae_points,label
0.3211,81.88890564671814,0.3211329633204633,26278,0
0.3373,86.01173383204633,0.33730091698841697,26330,0
0.3279,83.60726351351352,0.32787162162162165,26915,0
0.2837,72.35563465250965,0.2837475868725869,21626,0
0.1838,46.867941602316606,0.18379584942084942,16579,0
0.3108,79.26137186293437,0.31082890926640927,22572,0
0.348,88.74233832046332,0.3480091698841699,25667,0
0.2746,70.02039092664093,0.27458976833976834,25883,0
0.244,62.2300916988417,0.2440395752895753,25084,0
0.183,46.65410834942085,0.18295728764478764,20033,0
0.2248,57.31192688223938,0.22475265444015444,21977,0
0.1849,47.151001447876446,0.18490588803088803,18588,0
0.2175,55.46126930501931,0.21749517374517374,18302,0
0.2259,57.61190878378378,0.22592905405405406,19338,0
0.243,61.97472249034749,0.2430381274131274,23585,0
0.2819,71.88797055984556,0.28191361003861004,24794,0
0.2596,66.20523648648648,0.2596283783783784,20853,0
0.2412,61.51782697876448,0.24124638030888032,18447,0
0.2118,54.00289575289575,0.21177606177606179,15510,0
0.1481,37.760798745173744,0.1480815637065637,11252,0
0.2108,53.742911438223935,0.21075651544401544,18551,0
0.2016,51.401514237451735,0.20157456563706563,17157,0
0.1299,33.11338682432432,0.12985641891891891,14229,0
0.267,68.0881998069498,0.2670125482625483,23479,0
0.2369,60.40712475868726,0.23689068532818533,22227,0
0.2483,63.31925675675676,0.2483108108108108,21848,0
0.1917,48.889358108108105,0.19172297297297297,18164,0
0.1656,42.23283663127413,0.16561896718146718,15650,0
0.1245,31.736546814671815,0.12445704633204634,11810,0
0.2709,69.07890926640927,0.2708976833976834,23734,0
0.1937,49.3816361003861,0.1936534749034749,18402,0
0.278,70.8815,0.27796666666666664,15376,0
0.283,72.15933333333334,0.2829777777777778,15697,0
0.302,77.01566666666666,0.30202222222222225,16137,0
0.2501,63.76416666666667,0.25005555555555553,13134,0
0.2762,70.43383333333334,0.27621111111111113,12044,0
0.2547,64.957,0.2547333333333333,12448,0
0.233,59.4235,0.23303333333333334,13026,0
0.2318,59.10333333333333,0.23177777777777778,13488,0
0.2258,57.5875,0.22583333333333333,12237,0
0.2198,56.051833333333335,0.21981111111111112,11680,0
0.204,52.0285,0.20403333333333334,11474,0
0.2344,59.77483333333333,0.2344111111111111,12239,0
0.3438,87.68033333333334,0.34384444444444445,13726,0
0.2969,75.70666666666666,0.29688888888888887,13626,0
0.2164,55.17066666666667,0.21635555555555555,11596,0
0.2119,54.031666666666666,0.21188888888888888,11765,0
0.2314,59.01833333333333,0.23144444444444445,12709,0
0.2248,57.312666666666665,0.22475555555555554,12753,0
0.2511,64.039,0.2511333333333333,13174,0
0.3114,79.41833333333334,0.31144444444444447,15357,0
0.2883,73.50516666666667,0.28825555555555554,14698,0
0.241,61.4635,0.24103333333333332,13203,0
0.1784,45.48916666666667,0.1783888888888889,10356,0
0.2292,58.4375,0.22916666666666666,13135,0
0.2311,58.91916666666667,0.23105555555555554,12175,0
0.2131,54.332,0.21306666666666665,10936,0
0.1839,46.900166666666664,0.1839222222222222,10399,0
0.1456,37.125166666666665,0.14558888888888888,8660,0
0.2662,67.8725,0.26616666666666666,13824,0
0.2392,60.99316666666667,0.2391888888888889,12076,0
0.2539,64.75016666666667,0.2539222222222222,13195,0
0.2115,53.9325,0.2115,12048,0
0.2081,53.07683333333333,0.20814444444444444,11669,0
0.2367,60.35,0.23666666666666666,12702,0
0.2456,62.628,0.2456,13079,0
0.307,78.2935,0.3070333333333333,14832,0
0.322,82.12133333333334,0.32204444444444447,14427,0
0.2949,75.20516666666667,0.2949222222222222,14651,0
0.1864,47.54333333333334,0.18644444444444444,10043,0
0.2148,54.76833333333333,0.2147777777777778,10870,0
0.2392,61.007333333333335,0.23924444444444445,12691,0
0.1984,50.59766666666667,0.19842222222222222,11177,0
0.2063,52.60366666666667,0.20628888888888888,11669,0
0.2332,59.477333333333334,0.23324444444444445,11848,0
0.1821,46.43833333333333,0.1821111111111111,10044,0
0.1923,49.0365,0.1923,10420,0
0.134,34.16433333333333,0.13397777777777778,8237,0
0.1488,37.93833333333333,0.1487777777777778,9288,0
0.2222,56.6525,0.22216666666666668,11633,0
0.2045,52.139,0.20446666666666666,11027,0
0.1813,46.223,0.18126666666666666,10726,0
0.2174,55.43983333333333,0.2174111111111111,10635,0
0.2324,59.2705,0.23243333333333333,12313,0
0.2318,59.10333333333333,0.23177777777777778,12251,0
0.1306,33.291666666666664,0.13055555555555556,7993,0
0.1667,42.497166666666665,0.16665555555555556,9959,0
0.0916,23.352333333333334,0.09157777777777777,5421,0
0.0983,25.072166666666668,0.09832222222222223,6170,0
0.1136,28.979333333333333,0.11364444444444445,6992,0
